Entity,Code,Day,people_fully_vaccinated_per_hundred,145609-annotations
Vietnam,VNM,2021-04-30,0.01,
Vietnam,VNM,2021-05-14,0.02,
Vietnam,VNM,2021-05-15,0.02,
Vietnam,VNM,2021-05-16,0.02,
Vietnam,VNM,2021-05-18,0.03,
Vietnam,VNM,2021-05-22,0.03,
Vietnam,VNM,2021-05-26,0.03,
Vietnam,VNM,2021-05-31,0.03,
Vietnam,VNM,2021-06-02,0.03,
Vietnam,VNM,2021-06-03,0.03,
Vietnam,VNM,2021-06-04,0.03,
Vietnam,VNM,2021-06-05,0.03,
Vietnam,VNM,2021-06-06,0.03,
Vietnam,VNM,2021-06-07,0.04,
Vietnam,VNM,2021-06-08,0.04,
Vietnam,VNM,2021-06-09,0.05,
Vietnam,VNM,2021-06-10,0.05,
Vietnam,VNM,2021-06-11,0.05,
Vietnam,VNM,2021-06-12,0.06,
Vietnam,VNM,2021-06-13,0.06,
Vietnam,VNM,2021-06-14,0.06,
Vietnam,VNM,2021-06-15,0.06,
Vietnam,VNM,2021-06-16,0.07,
Vietnam,VNM,2021-06-17,0.09,
Vietnam,VNM,2021-06-18,0.11,
Vietnam,VNM,2021-06-19,0.12,
Vietnam,VNM,2021-06-20,0.12,
Vietnam,VNM,2021-06-22,0.14,
Vietnam,VNM,2021-06-23,0.14,
Vietnam,VNM,2021-06-24,0.15,
Vietnam,VNM,2021-06-25,0.15,
Vietnam,VNM,2021-06-26,0.16,
Vietnam,VNM,2021-06-27,0.16,
Vietnam,VNM,2021-06-28,0.18,
Vietnam,VNM,2021-06-29,0.19,
Vietnam,VNM,2021-06-30,0.2,
Vietnam,VNM,2021-07-01,0.21,
Vietnam,VNM,2021-07-02,0.22,
Vietnam,VNM,2021-07-03,0.22,
Vietnam,VNM,2021-07-04,0.23,
Vietnam,VNM,2021-07-05,0.23,
Vietnam,VNM,2021-07-06,0.24,
Vietnam,VNM,2021-07-07,0.25,
Vietnam,VNM,2021-07-08,0.25,
Vietnam,VNM,2021-07-09,0.26,
Vietnam,VNM,2021-07-10,0.28,
Vietnam,VNM,2021-07-11,0.28,
Vietnam,VNM,2021-07-12,0.29,
Vietnam,VNM,2021-07-13,0.29,
Vietnam,VNM,2021-07-14,0.29,
Vietnam,VNM,2021-07-15,0.3,
Vietnam,VNM,2021-07-16,0.3,
Vietnam,VNM,2021-07-17,0.31,
Vietnam,VNM,2021-07-18,0.31,
Vietnam,VNM,2021-07-19,0.32,
Vietnam,VNM,2021-07-20,0.32,
Vietnam,VNM,2021-07-21,0.33,
Vietnam,VNM,2021-07-22,0.34,
Vietnam,VNM,2021-07-23,0.36,
Vietnam,VNM,2021-07-24,0.38,
Vietnam,VNM,2021-07-25,0.4,
Vietnam,VNM,2021-07-26,0.43,
Vietnam,VNM,2021-07-27,0.46,
Vietnam,VNM,2021-07-28,0.51,
Vietnam,VNM,2021-07-29,0.56,
Vietnam,VNM,2021-07-30,0.6,
Vietnam,VNM,2021-07-31,0.63,
Vietnam,VNM,2021-08-01,0.67,
Vietnam,VNM,2021-08-02,0.73,
Vietnam,VNM,2021-08-03,0.76,
Vietnam,VNM,2021-08-04,0.79,
Vietnam,VNM,2021-08-05,0.84,
Vietnam,VNM,2021-08-06,0.88,
Vietnam,VNM,2021-08-07,0.91,
Vietnam,VNM,2021-08-08,0.96,
Vietnam,VNM,2021-08-09,1.02,
Vietnam,VNM,2021-08-10,1.06,
Vietnam,VNM,2021-08-11,1.11,
Vietnam,VNM,2021-08-12,1.21,
Vietnam,VNM,2021-08-13,1.3,
Vietnam,VNM,2021-08-14,1.38,
Vietnam,VNM,2021-08-15,1.41,
Vietnam,VNM,2021-08-16,1.43,
Vietnam,VNM,2021-08-17,1.51,
Vietnam,VNM,2021-08-18,1.59,
Vietnam,VNM,2021-08-19,1.67,
Vietnam,VNM,2021-08-20,1.74,
Vietnam,VNM,2021-08-21,1.82,
Vietnam,VNM,2021-08-22,1.87,
Vietnam,VNM,2021-08-23,1.96,
Vietnam,VNM,2021-08-24,2.08,
Vietnam,VNM,2021-08-25,2.18,
Vietnam,VNM,2021-08-26,2.28,
Vietnam,VNM,2021-08-27,2.37,
Vietnam,VNM,2021-08-28,2.48,
Vietnam,VNM,2021-08-29,2.57,
Vietnam,VNM,2021-08-30,2.67,
Vietnam,VNM,2021-08-31,2.78,
Vietnam,VNM,2021-09-01,2.94,
Vietnam,VNM,2021-09-02,3.01,
Vietnam,VNM,2021-09-03,3.1,
Vietnam,VNM,2021-09-04,3.26,
Vietnam,VNM,2021-09-05,3.4,
Vietnam,VNM,2021-09-06,3.51,
Vietnam,VNM,2021-09-07,3.84,
Vietnam,VNM,2021-09-08,4.27,
Vietnam,VNM,2021-09-09,4.55,
Vietnam,VNM,2021-09-10,4.83,
Vietnam,VNM,2021-09-11,5.15,
Vietnam,VNM,2021-09-12,5.43,
Vietnam,VNM,2021-09-13,5.73,
Vietnam,VNM,2021-09-14,5.94,
Vietnam,VNM,2021-09-15,6.1,
Vietnam,VNM,2021-09-16,6.3,
Vietnam,VNM,2021-09-17,6.47,
Vietnam,VNM,2021-09-18,6.64,
Vietnam,VNM,2021-09-19,6.76,
Vietnam,VNM,2021-09-20,6.91,
Vietnam,VNM,2021-09-21,7.06,
Vietnam,VNM,2021-09-22,7.19,
Vietnam,VNM,2021-09-23,7.39,
Vietnam,VNM,2021-09-24,7.7,
Vietnam,VNM,2021-09-25,8.09,
Vietnam,VNM,2021-09-26,8.44,
Vietnam,VNM,2021-09-27,8.76,
Vietnam,VNM,2021-09-28,9.15,
Vietnam,VNM,2021-09-29,9.67,
Vietnam,VNM,2021-09-30,10,
Vietnam,VNM,2021-10-01,10.32,
Vietnam,VNM,2021-10-02,10.68,
Vietnam,VNM,2021-10-03,11.08,
Vietnam,VNM,2021-10-04,11.83,
Vietnam,VNM,2021-10-05,12.45,
Vietnam,VNM,2021-10-06,13.05,
Vietnam,VNM,2021-10-08,14.51,
Vietnam,VNM,2021-10-10,15.87,
Vietnam,VNM,2021-10-11,16.44,
Vietnam,VNM,2021-10-12,16.8,
Vietnam,VNM,2021-10-13,17.12,
Vietnam,VNM,2021-10-14,17.51,
Vietnam,VNM,2021-10-16,18.18,
Vietnam,VNM,2021-10-17,18.49,
Vietnam,VNM,2021-10-18,18.84,
Vietnam,VNM,2021-10-19,19.44,
Vietnam,VNM,2021-10-20,19.82,
Vietnam,VNM,2021-10-22,21.12,
Vietnam,VNM,2021-10-23,21.44,
Vietnam,VNM,2021-12-02,54.22,
Vietnam,VNM,2021-12-09,57.44,
